"class_2015","pixel_count","1","2","3","4","5","6"
1,46,4.14,0,0,0,0,0
1,76,0,6.84,0,0,0,0
1,18,0,0,1.62,0,0,0
1,66,0,0,0,5.94,0,0
1,292,0,0,0,0,26.28,0
1,183,0,0,0,0,0,16.47
2,147,13.23,0,0,0,0,0
2,1239,0,111.51,0,0,0,0
2,8,0,0,0.72,0,0,0
2,229,0,0,0,20.61,0,0
2,618,0,0,0,0,55.62,0
2,1107,0,0,0,0,0,99.63
3,20,1.8,0,0,0,0,0
3,3,0,0.27,0,0,0,0
3,2,0,0,0.18,0,0,0
3,1,0,0,0,0.09,0,0
3,7,0,0,0,0,0.63,0
3,12,0,0,0,0,0,1.08
4,52,4.68,0,0,0,0,0
4,59,0,5.31,0,0,0,0
4,2,0,0,0.18,0,0,0
4,55,0,0,0,4.95,0,0
4,107,0,0,0,0,9.63,0
4,199,0,0,0,0,0,17.91
5,103,9.27,0,0,0,0,0
5,154,0,13.86,0,0,0,0
5,24,0,0,2.16,0,0,0
5,246,0,0,0,22.14,0,0
5,8991,0,0,0,0,809.19,0
5,472,0,0,0,0,0,42.48
6,382,34.38,0,0,0,0,0
6,783,0,70.47,0,0,0,0
6,20,0,0,1.8,0,0,0
6,461,0,0,0,41.49,0,0
6,804,0,0,0,0,72.36,0
6,2931,0,0,0,0,0,263.79
